method,num_steps,nfe,l2_mean,l2_std,mse_mean,mse_std
rx_ddim,1,1,0.9776440858840942,0.2020939439535141,0.37653636932373047,0.09653114527463913
ddim,2,2,0.5502631068229675,0.14778108894824982,0.1287417858839035,0.07400473952293396
rx_ddim,5,5,0.6025310754776001,0.20256075263023376,0.14113086462020874,0.06581360101699829
ddim,10,10,0.16127577424049377,0.06029898673295975,0.010599229484796524,0.005966527387499809
rx_ddim,10,10,0.12767340242862701,0.07639313489198685,0.00746537558734417,0.007549939677119255
ddim,20,20,0.09035543352365494,0.03381266072392464,0.0032781772315502167,0.0017489998135715723
rx_ddim,25,25,0.031444065272808075,0.01403955277055502,0.000405854923883453,0.0002849711454473436
ddim,50,50,0.03862316906452179,0.014584957621991634,0.0005935685476288199,0.00031247487640939653
rx_ddim,50,50,0.009238213300704956,0.0026668820064514875,3.330369509058073e-05,1.2516126844275277e-05
ddim,100,100,0.019352976232767105,0.007188891991972923,0.00014843232929706573,7.647550955880433e-05
