method,tau,n_rx_steps,nfe,kid_mean,kid_std
dws_rx_ddim,0.05,1,2,0.01428126,0.0006311957
dws_rx_ddim,0.1,1,2,0.01408875,0.0006657603
dws_rx_ddim,0.2,1,2,0.01436467,0.0006903032
dws_rx_ddim,0.3,1,2,0.01435493,0.0006328133
dws_rx_ddim,0.4,1,2,0.01561417,0.0006043883
dws_rx_ddim,0.05,2,3,0.01328023,0.0006242125
dws_rx_ddim,0.1,2,3,0.01100593,0.0005579818
dws_rx_ddim,0.2,2,3,0.01099247,0.0005573998
dws_rx_ddim,0.3,2,3,0.01133019,0.0006057798
dws_rx_ddim,0.4,2,3,0.01158838,0.0006962533
dws_rx_ddim,0.05,3,4,0.01310698,0.0005686766
dws_rx_ddim,0.1,3,4,0.01162204,0.0005535317
dws_rx_ddim,0.2,3,4,0.01108855,0.0006027378
dws_rx_ddim,0.3,3,4,0.01080194,0.0006456233
dws_rx_ddim,0.4,3,4,0.01113864,0.0006356518
dws_rx_ddim,0.05,4,5,0.0129269,0.0005037294
dws_rx_ddim,0.1,4,5,0.01124348,0.0004954454
dws_rx_ddim,0.2,4,5,0.009711435,0.0005510185
dws_rx_ddim,0.3,4,5,0.009279904,0.0005543929
dws_rx_ddim,0.4,4,5,0.008689709,0.0005310958
dws_rx_ddim,0.05,5,6,0.01300571,0.000594397
dws_rx_ddim,0.1,5,6,0.01088221,0.0005137252
dws_rx_ddim,0.2,5,6,0.009902594,0.0005151616
dws_rx_ddim,0.3,5,6,0.009935884,0.0006177112
dws_rx_ddim,0.4,5,6,0.009560573,0.0005193225
dws_rx_ddim,0.05,10,11,0.01298286,0.0004670491
dws_rx_ddim,0.1,10,11,0.01084354,0.0005097279
dws_rx_ddim,0.2,10,11,0.009351382,0.0005338269
dws_rx_ddim,0.3,10,11,0.008327608,0.0005010976
dws_rx_ddim,0.4,10,11,0.007868772,0.0004840049

modal volume get cmu-10799-diffusion-data samples/dws_rx_ddim_20260226_185347.png dws_1_step.png
